Entity,Code_x,Year_x,Share of population in poverty ($3 a day),Population,World region according to OWID,Share of population in poverty ($3 a day) (Original Year),Code_y,Year_y,Total across all levels,Total across all levels (Original Year)
Mongolia,MNG,2023,0.4398250952363014,,,2022.0,MNG,2023,1975173461,2017.0
Mozambique,MOZ,2023,81.3613772392273,,,2022.0,MOZ,2023,2576254882,2018.0
Nepal,NPL,2023,2.4363145232200623,,,2022.0,NPL,2023,5057647949,2018.0
Netherlands,NLD,2023,0.0972631154581904,,,2021.0,NLD,2023,69636320312,2021.0
Niger,NER,2023,60.489869117736816,,,2021.0,NER,2023,1289830810,2018.0
Norway,NOR,2023,0.1970593119040131,5519167.0,Europe,,NOR,2023,45817570312,2021.0
Pakistan,PAK,2023,16.516171395778656,,,2018.0,PAK,2023,26413462890,2019.0
Palestine,PSE,2023,2.0733127370476723,5409201.0,Asia,,PSE,2023,1621687377,2021.0
Panama,PAN,2023,3.732369840145111,4458758.0,North America,,PAN,2023,5368790527,2022.0
Paraguay,PRY,2023,2.392931655049324,6844150.0,South America,,PRY,2023,3938853515,
Peru,PER,2023,5.878738686442375,33845616.0,South America,,PER,2023,23466673828,
Poland,POL,2023,0.2441274467855692,38762847.0,Europe,,POL,2023,76101648437,2021.0
Portugal,PRT,2023,0.4132632631808519,10430735.0,Europe,,PRT,2023,20733718750,2021.0
Romania,ROU,2023,0.7001521531492472,19118482.0,Europe,,ROU,2023,26138113281,2021.0
Russia,RUS,2023,0.0416804017731919,,,2020.0,RUS,2023,273201875000,2018.0
Rwanda,RWA,2023,38.55049014091492,13954473.0,Africa,,RWA,2023,1940951049,
Senegal,SEN,2023,17.887471616268158,,,2021.0,SEN,2023,4782568359,2022.0
Serbia,SRB,2023,2.039072103798389,,,2022.0,SRB,2023,5409588867,2022.0
Seychelles,SYC,2023,0.6736329291015863,,,2018.0,SYC,2023,121873291,2016.0
Sierra Leone,SLE,2023,41.48519933223725,,,2018.0,SLE,2023,1293163696,2022.0
Slovakia,SVK,2023,0.4521372728049755,5518057.0,Europe,,SVK,2023,10501900390,2021.0
Slovenia,SVN,2023,0.0,2118394.0,Europe,,SVN,2023,5671363769,2021.0
South Korea,KOR,2023,0.2487649209797382,,,2021.0,KOR,2023,126499585937,2021.0
Spain,ESP,2023,0.8134083822369576,47911583.0,Europe,,ESP,2023,106992882812,2021.0
Sri Lanka,LKA,2023,2.7054540812969208,,,2019.0,LKA,2023,6805573242,2018.0
Sweden,SWE,2023,0.8379480801522732,10551493.0,Europe,,SWE,2023,52665718750,2021.0
Switzerland,CHE,2023,0.2086946740746498,,,2022.0,CHE,2023,39109351562,2021.0
