Entity,Code_x,Year_x,Share of population in poverty ($3 a day),Population,World region according to OWID,Share of population in poverty ($3 a day) (Original Year),Code_y,Year_y,Total across all levels,Total across all levels (Original Year)
Iceland,ISL,2023.0,0.0799420231487602,,,2019.0,ISL,2023.0,2118303955.0,2021.0
India,IND,2023.0,5.25164008140564,,,2022.0,IND,2023.0,480482406250.0,2021.0
Indonesia,IDN,2023.0,6.716166436672211,281190068.0,Asia,,IDN,2023.0,109398687500.0,2015.0
Iran,IRN,2023.0,2.4873051792383194,90608708.0,Asia,,IRN,2023.0,35312531250.0,2022.0
Iraq,IRQ,2023.0,0.549431424587965,45074055.0,Asia,,,,,
Ireland,IRL,2023.0,0.082305766409263,5196629.0,Europe,,IRL,2023.0,18847160156.0,2021.0
Israel,ISR,2023.0,0.7207458838820457,,,2021.0,ISR,2023.0,28842126953.0,2021.0
Italy,ITA,2023.0,0.927226897329092,59499452.0,Europe,,ITA,2023.0,133675343750.0,2021.0
Jamaica,JAM,2023.0,1.3869243673980236,,,2021.0,JAM,2023.0,1455149169.0,2022.0
Japan,JPN,2023.0,1.2131146155297756,,,2020.0,,,,
Jordan,,,,,,,JOR,2023.0,3520895019.0,2022.0
Kazakhstan,KAZ,2023.0,0.0401756464270874,,,2021.0,KAZ,2023.0,19561117187.0,2019.0
Kenya,KEN,2023.0,46.879225969314575,,,2022.0,KEN,2023.0,12179375000.0,2018.0
Kiribati,KIR,2023.0,6.133309006690979,,,2019.0,,,,
Kosovo,OWID_KOS,2023.0,9.9788099527359,,,2022.0,,,,
Kyrgyzstan,KGZ,2023.0,2.7435172349214554,7073523.0,Asia,,KGZ,2023.0,2173580078.0,2021.0
Laos,LAO,2023.0,15.656700730323792,,,2018.0,LAO,2023.0,1336678466.0,2014.0
Latvia,LVA,2023.0,0.4440968390554189,1882399.0,Europe,,LVA,2023.0,3463346191.0,2021.0
Lebanon,LBN,2023.0,5.894135683774948,,,2022.0,LBN,2023.0,2453507812.0,2013.0
Lesotho,,,,,,,LSO,2023.0,456888549.0,2018.0
Liberia,,,,,,,LBR,2023.0,186876556.0,2021.0
Lithuania,LTU,2023.0,1.0979139246046543,2854104.0,Europe,,LTU,2023.0,5997979980.0,2021.0
Luxembourg,LUX,2023.0,0.0851376331411302,665101.0,Europe,,LUX,2023.0,3509688964.0,2021.0
Madagascar,MDG,2023.0,69.17263865470886,,,2021.0,MDG,2023.0,1410123046.0,2018.0
Malawi,MWI,2023.0,75.43821930885315,,,2019.0,MWI,2023.0,1002194885.0,2018.0
Malaysia,MYS,2023.0,0.0130829415866173,,,2021.0,MYS,2023.0,41448406250.0,2020.0
Maldives,MDV,2023.0,0.0,,,2019.0,MDV,2023.0,334357360.0,2016.0
Mali,MLI,2023.0,36.1030787229538,,,2021.0,MLI,2023.0,2455062255.0,2021.0
Malta,MLT,2023.0,0.1100514433346688,,,2022.0,MLT,2023.0,1562975463.0,2021.0
Marshall Islands,MHL,2023.0,2.100958488881588,,,2019.0,MHL,2023.0,22174720.0,2022.0
