Entity,Code,Year,Share of population in poverty ($3 a day),Population,World region according to OWID,Share of population in poverty ($3 a day) (Original Year)
Thailand,THA,2023,0.004842254929826595,71702436,Asia,
Togo,TGO,2023,34.418004751205444,,,2021
Tonga,TON,2023,0.4088190384209156,,,2021
Tunisia,TUN,2023,0.6540433503687382,,,2021
Turkey,TUR,2023,0.5295797251164913,,,2022
Uganda,UGA,2023,59.78437662124634,,,2019
Ukraine,UKR,2023,0.03376775130163878,,,2020
United Arab Emirates,ARE,2023,0,,,2018
United Kingdom,GBR,2023,0.49831136129796505,,,2021
United States,USA,2023,1.2497341260313988,343477330,North America,
Uruguay,URY,2023,0.16938969492912292,3388083,South America,
Uzbekistan,UZB,2023,4.066276550292969,35652311,Asia,
Vanuatu,VUT,2023,19.495603442192078,,,2019
Vietnam,VNM,2023,1.60335972905159,,,2022
Zambia,ZMB,2023,71.6561496257782,,,2022
Zimbabwe,ZWE,2023,49.21989440917969,,,2019
